fid,objtype,lokalid,navnerom,versjonid,datafangstdato,oppdateringsdato,datauttaksdato,opphav,kommunenummer,navn,Turnover_capita_retail_Omsetning
"1",Kommune,fe328f8d-fbde-4c21-ab28-cbc583be401f,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5031",,"45257"
"2",Kommune,dadfaa2a-7413-4fb4-a6f5-aa3b5dbf0507,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4636",,"70481"
"3",Kommune,5b6fe7ff-260e-4a9e-b203-b83a71eb0a56,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3019",,"139418"
"4",Kommune,ffd39f1e-f20e-4559-80c9-42b911aac29b,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3032",,"34225"
"5",Kommune,e4f877ca-9330-4830-85d8-d116a738be2a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3043",,"100450"
"6",Kommune,5c57c0a1-e908-4088-aa8f-cb7f9ab0200a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4218",,"25381"
"7",Kommune,d0978550-67a8-4af7-9c21-1ca80f6bdbfa,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3820",,"180908"
"8",Kommune,0eb906fa-62e4-42e2-b0b6-26177b4009d4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3801",,"93745"
"9",Kommune,6d39c208-6c56-4a41-9295-c1078927ac6b,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3435",,"70217"
"10",Kommune,0930dfed-de16-48c3-aaa5-0dd56cb2661b,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20030701000000",,,"3416",,"54901"
"11",Kommune,25c2b192-c6b5-4d2c-ba4e-08ab31b4432d,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4212",,"66135"
"12",Kommune,0f682c0f-c483-4ebf-9dd9-32c75b4caaa1,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4211",,"163505"
"13",Kommune,b4732779-db16-478c-b95d-0e0f1d470ba6,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3425",,"59085"
"14",Kommune,e05680be-2c9d-4aac-9cb7-a65cba8a532f,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3031",,"52843"
"15",Kommune,4073df8a-38ee-4d9e-906d-b5758778013e,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3454",,"86854"
"16",Kommune,c8cf8dce-0b85-45a2-968c-a17942dd64b4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3415",,"75227"
"17",Kommune,cbc345bd-70cc-4131-85b5-534428553212,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3432",,"47902"
"18",Kommune,a850598b-bdbf-4d9c-b19a-a0bded54b92a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4228",,"83999"
"19",Kommune,82d4c807-e1cd-4941-9015-8c0d7960ced5,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3819",,"63280"
"20",Kommune,1ca0f13d-e85d-44fe-897d-82b3dd555c1a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3033",,"131110"
