fid,name,note,opening_hours,website,wikipedia,postal_code,shop,Vinmonopolet
"3",Bergen storsenter,,"Mo-Fr 09:00-21:00; Sa 09:00-18:00; PH,Su off",https://thonshopping.no/bergenstorsenter,no:Bergen Storsenter,"5015","69",true
"4",Vestkanten Storsenter,,10:00 - 21:00 (18:00),vestkanten.no,NO: Vestkanten,"5171","116",true
"6",Amfi Voss,,"Mo-Fr 10:00-19:00; Sa 10:00-18:00",amfi.no,NO: Amfi Voss,"5705","29",false
"10",Horisont kjøpesenter,,10:00 - 21:00 (18:00),https://www.horisont.no/,NO: Horisont,"5130","71",true
"11",Sartor Storsenter,,"Mo-Fr 10:00-21:00, Sa 10:00-18:00",https://sartorstorsenter.no/,NO: Sartor Storsenter,"5353","143",true
"13",Metro Senter,,"Mo-Fr 10:00-21:00,Sa 09:00-19:00",https://metro.steenstrom.no/,NO: Metro Senter,"1473","101",true
"15",Sørlandssenteret,,10:00 - 18:00 (16:00),Sorlandssenteret.no,no:Sørlandssenteret,"4636","163",true
"16",,,,,,,,
"19",Husnes Storsenter,,10:00 - 19:00 (16:00),husnesstorsenter.no,NO: Husnes Storsenter,"5460","34",true
"20",,,,,,,,
"21",Lagunen Storsenter,,10:00 - 18:00 (16:00),https://www.lagunen.no/,no:Lagunen Storsenter,"5239","200",true
"22",Jessheim Storsenter,,10:00 - 21:00 (19:00),jessheimstorsenter.no,no: jessheimstorsenter,"2050","143",true
"23",Vestby storsenter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",vestby-storsenter.no,NO: Vestby-storsenter,"1540","43",true
"25",Amfi Os,,"Mo-Fr 10:00-21:00; Sa 10:00-18:00",Amfi.no/amfi-os,NO: Amfi Os,"5200","51",false
"29",,,,,,,,
"31",,,,,,,,
"34",,,,,,,,
"39",,,,,,,,
"41",,,,,,,,
"42",,,,,,,,
"43",,,,,,,,
"44",,,,,,,,
"45",,,,,,,,
"62",,,,,,,,
"66",,,,,,,,
"67",,,,,,,,
"68",,,,,,,,
"69",,,,,,,,
"70",,,,,,,,
"71",,,,,,,,
"72",,,,,,,,
"73",,,,,,,,
"74",,,,,,,,
"75",,,,,,,,
"76",,,,,,,,
"77",,,,,,,,
"78",,,,,,,,
"79",,,,,,,,
"84",Mosseporten senter,,10:00- 21:00 (18:00),mosseporten.no,NO: mosseporten,"1599","54",false
"85",Byåsen butikksenter,,Mo-Sa 07:00-23:00,https://byaasenbutikksenter.no/,no:byåsenmall,"7020","12",false
"86",Senter Syd Mortensrud,,10:00- 20:00 (19:00),sentersyd.no,Sentersyd mortensrud,"1281","31",true
"87",Manglerud senter,,10:00- 18:00 (16:00),https://www.manglerudsenter.no/,NO: Manglerud Senter,"679","51",true
"88",Bryn senter,,10:00 - 21:00 (10:00 - 19:00),brynsenter.no,NO: Brynsenter,"667","42",false
