fid,Organisasj,Juridisk n,Telefonnum,Epost,URL,Selskapsfo,Bransjekod,Bransje,Kommune,Besøksadr,Kontaktper,Daglig led,Etablering,Antall ans,Sum Drifts,Sum salgsi,Annen drif,Driftsresu,Varekostna,Lønnsutgi,Avskrivnin,Nedskrivin,Andre drif,Sum drif_1,Sum Drif_2,Sum salg_1,Annen dr_1,Driftsre_1,Varekost_1,Lønnsut_1,Avskrivn_1,Nedskriv_1,Andre dr_1,Sum drif_3,Sum Drif_4,Sum salg_2,Annen dr_2,Driftsre_2,Varekost_2,Lønnsut_2,Avskrivn_2,Nedskriv_2,Andre dr_2,Sum drif_5,Sum Drif_6,Sum salg_3,Annen dr_3,Driftsre_3,Varekost_3,Lønnsut_3,Avskrivn_3,Nedskriv_3,Andre dr_3,Sum drif_7,Sum Drif_8,Sum salg_4,Annen dr_4,Driftsre_4,Varekost_4,Lønnsut_4,Avskrivn_4,Nedskriv_4,Andre dr_4,Sum drif_9,Sum Drif10,Sum salg_5,Annen dr_5,Driftsre_5,Varekost_5,Lønnsut_5,Avskrivn_5,Nedskriv_5,Andre dr_5,Sum drif11,Sum Drif12,Sum salg_6,Annen dr_6,Driftsre_6,Varekost_6,Lønnsut_6,Avskrivn_6,Nedskriv_6,Andre dr_6,Sum drif13,Sum Drif14,Sum salg_7,Annen dr_7,Driftsre_7,Varekost_7,Lønnsut_7,Avskrivn_7,Nedskriv_7,Andre dr_7,Sum drif15,Sum Drif16,Sum salg_8,Annen dr_8,Driftsre_8,Varekost_8,Lønnsut_8,Avskrivn_8,Nedskriv_8,Andre dr_8,Sum drif17,result_num,osm_id,display_na,category,type,latlong,_count,_sum,_mean
"1","921349890",Oris Dental AS,"53416166",leirvik@orisdental.no,https://orisdental.no/klinikker/stord-leirvik/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Stord,"Borggata 63, 5417 Stord",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","35782835","Borggata, Døso, Frugarden, Stord, Vestland, 5417, Norge",highway,secondary,"59.785026,5.505527",1242,6934.91765883192,5.58366961258609
"2","921349890",Oris Dental AS,"61252541",lillehammer@orisdental.no,https://orisdental.no/klinikker/lillehammer/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Lillehammer,"Kirkegata 55, 2609 Lillehammer",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3131678147","55, Kirkegata, Busmoen, Vingnes, Lillehammer, Innlandet, 2609, Norge",place,house,"61.1146173,10.464286",1234,14503.7913503386,11.7534775934673
"3","921349890",Oris Dental AS,"33466171",post@tannklinikken.no,http://www.tannklinikken.no/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Sandefjord,"Aagaards plass 1, 3211 Sandefjord",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3130219734","1, Aagaards plass, Bugården, Sandefjord, Vestfold og Telemark, 3211, Norge",place,house,"59.13114,10.220331",1234,17743.935615385,14.3792022815113
"4","921349890",Oris Dental AS,"61246580",lillehammertannregulering@orisdental.no,https://orisdental.no/klinikker/lillehammer-tannregulering/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Lillehammer,"Storgata 179, 2615 Lillehammer",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4844783332","179, Storgata, Smestadmoen, Hamarseng, Lillehammer, Innlandet, 2615, Norge",place,house,"61.12721,10.455302",1240,13676.3138498105,11.0292853627504
"5","921349890",Oris Dental AS,"55101700",nesttun@orisdental.no,https://orisdental.no/klinikker/nesttun/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Bergen,"Østre Nesttunvegen 2, 5221 Nesttun",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3125983919","2, Østre Nesttunvegen, Kloppedal, Nesttun, Fana, Bergen, Vestland, 5221, Norge",place,house,"60.3191535,5.3535689",1238,20672.2889558524,16.6981332438226
"6","921349890",Oris Dental AS,"69334340",https://fredrikstad@orisdental.no/,https://orisdental.no/klinikker/fredrikstad/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Fredrikstad,"Jens Wilhelmsens gate 1, 1671 Kråkerøy",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","10026150505","1, Jens Wilhelmsens gate, Hauertomtene, Bjølstad, Fredrikstad, Viken, 1671, Norge",place,house,"59.210685,10.931512",1232,22930.2660841644,18.6122289644191
"7","921349890",Oris Dental AS,"38050668",sogne@orisdental.no,https://orisdental.no/klinikker/sogne/?gclid=EAIaIQobChMIjM2qyJ699AIVQkWRBR2aRAyBEAAYASAAEgKFlPD_BwE,Privat aksjeselskap,"8623000",Tannhelsetjenester,Kristiansand,"Rådhusveien 37 A, 4640 Søgne",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3126958929","37A, Rådhusveien, Tangvall, Kristiansand, Agder, 4640, Norge",place,house,"58.0961758,7.8131301",1241,4169.66771836393,3.35992563929406
"8","921349890",Oris Dental AS,"78440725",alta@orisdental.no,https://orisdental.no/klinikker/alta/?utm_source=google-my-business&utm_medium=organic&utm_campaign=klinikkside,Privat aksjeselskap,"8623000",Tannhelsetjenester,Alta,"Bjørn Wirkolas vei 15, 9510 Alta",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2885906757","15, Bjørn Wirkolas vei, Nyland, Midtbakken, Alta - Áltá - Alattio, Alta, Troms og Finnmark, 9510, Norge",place,house,"69.964063,23.271461",1233,7586.79900512286,6.15312165865601
"9","921349890",Oris Dental AS,"73527173",sanden@orisdental.no,https://orisdental.no/klinikker/sanden/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Trondheim,"Kongens gate 60, 7012 Trondheim",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","6135919716","60, Kongens gate, Kalvskinnet, Midtbyen, Trondheim, Trøndelag, 7012, Norge",place,house,"63.430503,10.38663",1230,26250.1444893256,21.3415808856306
"10","921349890",Oris Dental AS,"51434686",post@narbotann.no,https://orisdental.no/klinikker/narbo/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Hå,"Opstadvegen 12, 4365 Nærbø",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3099260207","12C, Opstadvegen, Bjorhaug, Nærbø, Hå, Rogaland, 4365, Norge",place,house,"58.6648142,5.6419498",1237,4941.68386979308,3.99489399336546
